epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3755,1.63776,3.49714,0.00999,0.3099,0.26938,0.19291,0.10793,1.35997,3.74353,0.01282,0.000471473,0.000471473,0.000471473
2,66.4443,1.724,2.6307,0.01056,0.2175,0.19927,0.14639,0.08155,1.23638,3.50057,0.00956,0.000938423,0.000938423,0.000938423
3,91.055,1.72816,2.51,0.01103,0.29632,0.29867,0.21007,0.1173,1.60804,3.27605,0.01745,0.00139594,0.00139594,0.00139594
4,115.936,1.733,2.46251,0.01089,0.21592,0.26442,0.13653,0.07292,1.61085,7.586,0.01767,0.00138656,0.00138656,0.00138656
5,141.779,1.73674,2.5278,0.01158,0.31361,0.27767,0.20891,0.11573,1.41043,2.9307,0.01262,0.00137241,0.00137241,0.00137241
6,167.911,1.73459,2.41793,0.0111,0.30303,0.28309,0.21344,0.12072,1.62432,2.91348,0.01786,0.00135826,0.00135826,0.00135826
7,192.922,1.69627,2.3289,0.01082,0.32425,0.33035,0.24969,0.13133,1.61482,2.40124,0.01767,0.00134412,0.00134412,0.00134412
8,218.256,1.70886,2.30928,0.01108,0.24124,0.35739,0.20861,0.12241,1.27822,2.88141,0.01036,0.00132997,0.00132997,0.00132997
9,243.878,1.6692,2.2493,0.01046,0.23258,0.27601,0.17112,0.10295,1.47483,2.93826,0.01505,0.00131582,0.00131582,0.00131582
10,269.825,1.70249,2.2383,0.01067,0.36418,0.30975,0.27028,0.16065,1.46983,2.38992,0.01476,0.00130168,0.00130168,0.00130168
11,295.153,1.61644,2.18889,0.0108,0.40644,0.30194,0.25706,0.14997,1.40467,2.45501,0.01275,0.00128753,0.00128753,0.00128753
12,320.6,1.67286,2.13742,0.01018,0.38469,0.33468,0.29709,0.16658,1.56456,2.44459,0.01679,0.00127338,0.00127338,0.00127338
13,347.536,1.67134,2.14249,0.01053,0.41058,0.33901,0.31221,0.18315,1.49958,2.58161,0.01588,0.00125923,0.00125923,0.00125923
14,372.859,1.59993,2.09747,0.01045,0.3541,0.33674,0.28063,0.16618,1.48856,2.25314,0.01558,0.00124509,0.00124509,0.00124509
15,398.563,1.63995,2.10038,0.01018,0.3306,0.31679,0.23703,0.1365,1.37245,3.26583,0.01314,0.00123094,0.00123094,0.00123094
16,424.04,1.60597,2.01913,0.01004,0.42061,0.36106,0.31664,0.19,1.51042,2.13991,0.01621,0.00121679,0.00121679,0.00121679
17,449.834,1.61633,2.04392,0.00967,0.38924,0.34397,0.27808,0.15566,1.49615,2.41372,0.01525,0.00120265,0.00120265,0.00120265
18,475.663,1.63995,1.9788,0.00964,0.39031,0.35715,0.28054,0.16829,1.58362,2.24171,0.01733,0.0011885,0.0011885,0.0011885
19,501.292,1.57353,1.94576,0.0097,0.4431,0.36125,0.33079,0.19711,1.35619,2.17426,0.01241,0.00117435,0.00117435,0.00117435
20,527.002,1.61056,1.96935,0.00955,0.36162,0.34687,0.31114,0.19716,1.33064,2.09869,0.01224,0.00116021,0.00116021,0.00116021
21,552.615,1.57361,1.92813,0.01014,0.43271,0.34796,0.32393,0.19291,1.41012,2.05466,0.01429,0.00114606,0.00114606,0.00114606
22,579.438,1.5891,1.88058,0.00967,0.39766,0.37052,0.30543,0.18133,1.49948,2.0465,0.01632,0.00113191,0.00113191,0.00113191
23,605.027,1.55247,1.85124,0.00942,0.44276,0.35329,0.3289,0.19907,1.48804,2.09241,0.01626,0.00111776,0.00111776,0.00111776
24,634.064,1.52402,1.85877,0.00929,0.44024,0.35059,0.3302,0.2102,1.2423,1.9631,0.01039,0.00110362,0.00110362,0.00110362
25,659.58,1.52504,1.85304,0.00962,0.45978,0.28351,0.2974,0.1784,1.50865,2.25872,0.01607,0.00108947,0.00108947,0.00108947
26,686.401,1.55016,1.83384,0.0095,0.39692,0.35794,0.28451,0.17864,1.31703,2.44903,0.01225,0.00107532,0.00107532,0.00107532
27,712.162,1.54862,1.79374,0.00947,0.46076,0.34976,0.3296,0.19611,1.43793,2.49927,0.01427,0.00106118,0.00106118,0.00106118
28,737.642,1.54323,1.81566,0.0093,0.51971,0.37697,0.38052,0.24003,1.48899,1.91686,0.01646,0.00104703,0.00104703,0.00104703
29,763.429,1.52799,1.75431,0.00924,0.51444,0.41421,0.40326,0.24849,1.35918,2.31001,0.01338,0.00103288,0.00103288,0.00103288
30,790.351,1.48729,1.72767,0.00929,0.43998,0.35421,0.31793,0.20249,1.31342,2.79148,0.013,0.00101873,0.00101873,0.00101873
31,816.14,1.54473,1.74919,0.00923,0.48523,0.38304,0.35482,0.21945,1.47687,2.33652,0.01607,0.00100459,0.00100459,0.00100459
32,841.598,1.49225,1.71027,0.00904,0.44445,0.33998,0.30867,0.1891,1.27444,2.24164,0.01156,0.00099044,0.00099044,0.00099044
33,867.301,1.50622,1.67369,0.00886,0.38837,0.43695,0.34752,0.20949,1.3502,2.32267,0.01202,0.000976293,0.000976293,0.000976293
34,892.749,1.47043,1.70262,0.00906,0.45203,0.3453,0.33963,0.20383,1.25339,2.13343,0.01048,0.000962146,0.000962146,0.000962146
35,918.397,1.5023,1.66427,0.00856,0.47644,0.35769,0.35896,0.21829,1.27008,2.09827,0.01067,0.000947999,0.000947999,0.000947999
36,943.83,1.46185,1.62018,0.00882,0.49785,0.36724,0.36519,0.21714,1.26919,2.60971,0.01046,0.000933851,0.000933851,0.000933851
37,969.308,1.48109,1.62947,0.00892,0.45306,0.38398,0.33271,0.20456,1.29045,2.74903,0.01147,0.000919704,0.000919704,0.000919704
38,994.888,1.47916,1.62286,0.00884,0.41746,0.38106,0.31956,0.19914,1.4766,2.13256,0.01588,0.000905557,0.000905557,0.000905557
39,1020.8,1.48731,1.56587,0.00831,0.5009,0.35278,0.35468,0.22038,1.30077,2.3398,0.01172,0.00089141,0.00089141,0.00089141
