epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,37.341,1.45648,3.99881,0.00883,0.16103,0.21041,0.11266,0.06293,1.5336,3.59275,0.01357,0.000468891,0.000468891,0.000468891
2,53.4341,1.56525,2.58426,0.00974,0.57627,0.19188,0.12467,0.0616,1.72009,3.96425,0.01569,0.000935866,0.000935866,0.000935866
3,69.4352,1.56654,2.4507,0.01039,0.52446,0.21742,0.16481,0.09049,1.63108,2.62974,0.01504,0.00139341,0.00139341,0.00139341
4,85.008,1.64564,2.36351,0.00982,0.50523,0.22455,0.14603,0.07822,1.64011,3.31576,0.01531,0.00138656,0.00138656,0.00138656
5,99.745,1.60464,2.32334,0.01028,0.59018,0.17553,0.16906,0.09087,1.66772,2.79285,0.01594,0.00137241,0.00137241,0.00137241
6,115.036,1.6614,2.24821,0.01033,0.54603,0.21853,0.15454,0.08168,1.61412,2.671,0.01475,0.00135826,0.00135826,0.00135826
7,129.809,1.58448,2.18052,0.00999,0.54492,0.20703,0.15664,0.08352,1.65329,3.03702,0.01493,0.00134412,0.00134412,0.00134412
8,144.589,1.57273,2.21333,0.01047,0.60186,0.21629,0.18738,0.10388,1.65218,2.78871,0.01525,0.00132997,0.00132997,0.00132997
9,159.762,1.59776,2.07733,0.00958,0.5895,0.22279,0.20029,0.10691,1.66591,2.4798,0.01494,0.00131582,0.00131582,0.00131582
10,174.842,1.54067,2.10903,0.00992,0.49084,0.21842,0.1374,0.07678,1.5959,2.61129,0.01442,0.00130168,0.00130168,0.00130168
11,189.883,1.57071,2.02038,0.00972,0.54415,0.22475,0.15333,0.08746,1.5668,3.36776,0.01414,0.00128753,0.00128753,0.00128753
12,205.046,1.48828,1.98587,0.00981,0.26421,0.19925,0.174,0.09896,1.60442,3.07756,0.01467,0.00127338,0.00127338,0.00127338
