epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2026,1.45648,3.99881,0.00883,0.16154,0.21168,0.11283,0.06293,1.5333,3.59563,0.0136,0.000468891,0.000468891,0.000468891
2,51.5335,1.56525,2.58426,0.00974,0.57608,0.19165,0.1246,0.06162,1.71933,3.96473,0.01568,0.000935866,0.000935866,0.000935866
3,67.6216,1.56654,2.4507,0.01039,0.5254,0.21899,0.16526,0.09071,1.63102,2.62994,0.01504,0.00139341,0.00139341,0.00139341
4,83.8185,1.64564,2.36351,0.00982,0.51206,0.21767,0.14604,0.07834,1.64264,3.31468,0.01532,0.00138656,0.00138656,0.00138656
5,99.9797,1.60464,2.32334,0.01028,0.58902,0.17427,0.1692,0.09089,1.66758,2.79314,0.01594,0.00137241,0.00137241,0.00137241
6,118.148,1.6614,2.24821,0.01033,0.54688,0.21635,0.15447,0.08162,1.61341,2.67442,0.01479,0.00135826,0.00135826,0.00135826
7,134.178,1.58448,2.18052,0.00999,0.54517,0.21088,0.15672,0.08363,1.65304,3.03661,0.01493,0.00134412,0.00134412,0.00134412
8,150.398,1.57273,2.21333,0.01047,0.59947,0.21519,0.18693,0.10362,1.65211,2.78881,0.01525,0.00132997,0.00132997,0.00132997
9,166.902,1.59776,2.07733,0.00958,0.5899,0.22279,0.20055,0.10695,1.66596,2.47985,0.01494,0.00131582,0.00131582,0.00131582
10,183.21,1.54067,2.10903,0.00992,0.49092,0.21865,0.13738,0.07676,1.59595,2.61131,0.01442,0.00130168,0.00130168,0.00130168
11,199.634,1.57071,2.02038,0.00972,0.54415,0.22475,0.15333,0.08746,1.5668,3.36776,0.01414,0.00128753,0.00128753,0.00128753
12,216.019,1.48828,1.98587,0.00981,0.26421,0.19925,0.174,0.09896,1.60442,3.07756,0.01467,0.00127338,0.00127338,0.00127338
13,232.632,1.53914,1.94374,0.00954,0.27616,0.24662,0.21278,0.12374,1.58416,2.4536,0.01449,0.00125923,0.00125923,0.00125923
14,249.229,1.47766,1.93975,0.00969,0.61003,0.27674,0.22741,0.13214,1.58092,2.91164,0.01427,0.00124509,0.00124509,0.00124509
15,265.757,1.45051,1.8746,0.00907,0.61,0.26373,0.23022,0.13105,1.53341,2.31232,0.01356,0.00123094,0.00123094,0.00123094
16,282.285,1.44309,1.90308,0.00915,0.60675,0.25594,0.21492,0.12569,1.56395,2.36625,0.01417,0.00121679,0.00121679,0.00121679
17,299.868,1.45749,1.9113,0.0091,0.60287,0.28466,0.23176,0.1383,1.54441,2.49913,0.01386,0.00120265,0.00120265,0.00120265
18,316.573,1.44298,1.8443,0.00918,0.62585,0.28496,0.23853,0.13359,1.48067,2.40098,0.0134,0.0011885,0.0011885,0.0011885
19,333.435,1.48501,1.77777,0.00877,0.60909,0.27097,0.24708,0.13816,1.55583,2.49361,0.01404,0.00117435,0.00117435,0.00117435
20,350.011,1.38033,1.73678,0.00879,0.55504,0.31585,0.244,0.14085,1.5322,2.44006,0.01346,0.00116021,0.00116021,0.00116021
21,366.614,1.3983,1.72748,0.00858,0.62731,0.27877,0.25103,0.14236,1.53546,2.22288,0.01364,0.00114606,0.00114606,0.00114606
22,383.443,1.426,1.73794,0.00877,0.62009,0.25005,0.23017,0.13541,1.51007,2.47268,0.01351,0.00113191,0.00113191,0.00113191
23,400.261,1.39675,1.70508,0.00819,0.66298,0.25334,0.25353,0.14138,1.54768,2.30237,0.01371,0.00111776,0.00111776,0.00111776
24,416.999,1.41173,1.65919,0.0083,0.27625,0.23807,0.2107,0.1242,1.52388,2.51916,0.0136,0.00110362,0.00110362,0.00110362
25,433.616,1.34803,1.629,0.00832,0.65571,0.24609,0.23467,0.13164,1.55542,2.29575,0.01386,0.00108947,0.00108947,0.00108947
26,450.852,1.45774,1.70163,0.00853,0.64218,0.25032,0.22763,0.13054,1.51936,2.35125,0.01359,0.00107532,0.00107532,0.00107532
27,467.679,1.37828,1.61372,0.00791,0.64995,0.23151,0.22876,0.1414,1.48541,2.14974,0.01324,0.00106118,0.00106118,0.00106118
28,484.542,1.38385,1.60319,0.00783,0.62607,0.2776,0.24421,0.14514,1.48399,2.50298,0.01296,0.00104703,0.00104703,0.00104703
29,501.329,1.34559,1.60793,0.0081,0.66724,0.25426,0.25289,0.14802,1.48904,2.35929,0.01317,0.00103288,0.00103288,0.00103288
30,518.274,1.39287,1.62932,0.00783,0.31454,0.25658,0.25436,0.15441,1.52461,2.27652,0.01349,0.00101873,0.00101873,0.00101873
31,535.18,1.38477,1.62113,0.00783,0.62966,0.26352,0.22083,0.13042,1.54809,2.31282,0.01354,0.00100459,0.00100459,0.00100459
32,552.172,1.3888,1.54721,0.008,0.66013,0.25607,0.25913,0.15023,1.5197,2.17028,0.0135,0.00099044,0.00099044,0.00099044
33,569.176,1.35072,1.4915,0.00762,0.63907,0.25397,0.23208,0.13371,1.49634,2.40768,0.01329,0.000976293,0.000976293,0.000976293
34,586.048,1.33885,1.45971,0.00755,0.60672,0.24381,0.22861,0.13301,1.5019,2.43585,0.01294,0.000962146,0.000962146,0.000962146
35,603.339,1.35157,1.4432,0.00748,0.64177,0.23255,0.22628,0.13414,1.52428,2.32532,0.01357,0.000947999,0.000947999,0.000947999
36,620.138,1.3274,1.45018,0.0078,0.29575,0.22098,0.21453,0.12559,1.53643,2.41102,0.01335,0.000933851,0.000933851,0.000933851
37,636.814,1.26477,1.41927,0.00782,0.62006,0.26039,0.2346,0.13488,1.52036,2.38898,0.01346,0.000919704,0.000919704,0.000919704
38,653.508,1.28646,1.36948,0.0075,0.28275,0.25416,0.23675,0.13588,1.49707,2.45847,0.01341,0.000905557,0.000905557,0.000905557
