epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7519,1.90289,3.27113,0.01286,0.16892,0.14737,0.08028,0.03911,1.73176,3.09883,0.01843,0.000663265,0.000663265,0.0675
2,71.1584,1.86262,3.03539,0.0131,0.20182,0.28247,0.13189,0.06845,1.61016,3.47335,0.01562,0.00132961,0.00132961,0.034833
3,97.8643,1.87712,2.92406,0.01305,0.23791,0.20028,0.16003,0.08784,1.6972,3.00963,0.01791,0.00199465,0.00199465,0.00216472
4,124.639,1.8264,2.7936,0.01293,0.19692,0.21142,0.13241,0.07222,1.67599,3.3467,0.01683,0.00199561,0.00199561,0.00199561
5,151.525,1.82651,2.72074,0.01255,0.25788,0.23624,0.16327,0.08496,1.67743,2.89683,0.01795,0.00199219,0.00199219,0.00199219
6,178.623,1.82359,2.63297,0.01223,0.25751,0.25146,0.14825,0.08557,1.52704,3.5054,0.01462,0.00198781,0.00198781,0.00198781
7,205.957,1.81219,2.61101,0.0122,0.27201,0.23167,0.17681,0.09241,1.55457,3.38696,0.01487,0.00198246,0.00198246,0.00198246
8,233.241,1.78058,2.6145,0.01221,0.2625,0.2756,0.20487,0.11407,1.56471,3.24732,0.0166,0.00197616,0.00197616,0.00197616
9,260.629,1.79929,2.50022,0.01157,0.40235,0.32698,0.30571,0.17037,1.48528,2.57039,0.01493,0.0019689,0.0019689,0.0019689
10,288.109,1.754,2.48216,0.01233,0.3629,0.30144,0.25406,0.14305,1.54891,2.6991,0.0159,0.00196069,0.00196069,0.00196069
11,315.384,1.74884,2.49388,0.01279,0.26757,0.28934,0.2044,0.11563,1.58061,2.90077,0.01619,0.00195155,0.00195155,0.00195155
12,342.876,1.75361,2.43172,0.01148,0.24913,0.28762,0.20662,0.11483,1.56227,3.44346,0.01596,0.00194147,0.00194147,0.00194147
13,372.928,1.71753,2.53821,0.01212,0.33921,0.33215,0.27447,0.15213,1.54288,2.54797,0.01504,0.00193048,0.00193048,0.00193048
14,400.452,1.72963,2.38005,0.01178,0.34212,0.33267,0.24277,0.13611,1.54576,2.74015,0.01615,0.00191858,0.00191858,0.00191858
15,428.028,1.71074,2.33777,0.01141,0.3666,0.32248,0.26377,0.15744,1.39519,2.9065,0.01327,0.00190578,0.00190578,0.00190578
16,455.553,1.69689,2.36926,0.01136,0.34893,0.31707,0.26553,0.15608,1.48863,2.72954,0.01517,0.0018921,0.0018921,0.0018921
17,483.021,1.66803,2.31023,0.01141,0.36231,0.32707,0.267,0.15484,1.38953,2.59186,0.01239,0.00187754,0.00187754,0.00187754
18,510.791,1.68081,2.297,0.01155,0.39072,0.36123,0.30639,0.17637,1.54669,2.25836,0.01582,0.00186213,0.00186213,0.00186213
19,546.125,1.68097,2.26469,0.01142,0.39576,0.34474,0.26557,0.15278,1.5082,3.01307,0.01563,0.00184588,0.00184588,0.00184588
20,582.9,1.68991,2.27542,0.01111,0.35599,0.31782,0.23692,0.13619,1.54234,2.83144,0.01613,0.00182881,0.00182881,0.00182881
21,619.631,1.68546,2.26758,0.01133,0.42076,0.35179,0.28569,0.15945,1.50644,2.55993,0.01526,0.00181093,0.00181093,0.00181093
22,656.369,1.64864,2.31166,0.01148,0.36045,0.3629,0.28591,0.16692,1.4215,2.56828,0.01418,0.00179225,0.00179225,0.00179225
23,684.72,1.65453,2.27231,0.01175,0.35561,0.35687,0.29156,0.17612,1.36374,2.44459,0.01259,0.00177281,0.00177281,0.00177281
24,709.34,1.67137,2.18216,0.0114,0.35942,0.3011,0.2617,0.158,1.48168,2.27621,0.01606,0.00175261,0.00175261,0.00175261
25,733.838,1.65859,2.17762,0.01135,0.38395,0.35146,0.30265,0.16912,1.39731,2.49551,0.01294,0.00173168,0.00173168,0.00173168
26,758.331,1.61749,2.12541,0.01108,0.42809,0.35459,0.32224,0.18378,1.48131,2.38315,0.01526,0.00171004,0.00171004,0.00171004
27,782.88,1.62464,2.12959,0.01075,0.35929,0.34714,0.2886,0.16644,1.4732,2.60242,0.01536,0.0016877,0.0016877,0.0016877
28,807.489,1.66366,2.19166,0.01079,0.32002,0.29131,0.24604,0.14526,1.43411,2.62412,0.01375,0.0016647,0.0016647,0.0016647
29,831.881,1.60315,2.10843,0.01094,0.38939,0.34406,0.29648,0.17604,1.40261,2.52606,0.0139,0.00164105,0.00164105,0.00164105
30,856.213,1.60358,2.08861,0.01094,0.4053,0.30799,0.28018,0.17203,1.43365,2.32403,0.01445,0.00161678,0.00161678,0.00161678
31,880.642,1.59995,2.09348,0.01084,0.37339,0.30153,0.27747,0.16629,1.45288,2.33556,0.01518,0.00159191,0.00159191,0.00159191
32,905.134,1.61386,2.13089,0.01065,0.45217,0.35273,0.33541,0.20207,1.47048,2.14262,0.01468,0.00156646,0.00156646,0.00156646
33,929.72,1.60663,2.08127,0.01058,0.43829,0.33897,0.31901,0.19265,1.37285,2.58593,0.01299,0.00154047,0.00154047,0.00154047
34,954.013,1.58976,2.04295,0.01065,0.48305,0.35027,0.33111,0.1962,1.39653,2.38353,0.01309,0.00151395,0.00151395,0.00151395
35,978.407,1.61967,2.10251,0.01084,0.44725,0.36998,0.33421,0.20528,1.4203,2.40819,0.01437,0.00148694,0.00148694,0.00148694
36,1004.05,1.58319,1.98801,0.01032,0.45739,0.3663,0.3208,0.19461,1.35416,2.19985,0.01239,0.00145945,0.00145945,0.00145945
37,1031.43,1.54408,1.92839,0.01061,0.44864,0.38337,0.342,0.20839,1.4383,2.21563,0.01672,0.00143152,0.00143152,0.00143152
38,1058.91,1.55807,1.97513,0.01032,0.44825,0.37404,0.34979,0.21316,1.42676,2.10543,0.0143,0.00140318,0.00140318,0.00140318
39,1086.21,1.53707,1.95905,0.01046,0.4873,0.36883,0.36214,0.22078,1.42982,2.16444,0.01411,0.00137444,0.00137444,0.00137444
40,1113.65,1.55115,1.92187,0.01015,0.45141,0.37335,0.3295,0.19602,1.40335,2.18666,0.01388,0.00134535,0.00134535,0.00134535
41,1140.86,1.54967,1.94375,0.01056,0.50852,0.38232,0.36197,0.21869,1.43235,2.1998,0.01454,0.00131593,0.00131593,0.00131593
42,1168.12,1.53124,1.87338,0.01017,0.42739,0.3709,0.33587,0.2043,1.43532,2.11115,0.01452,0.0012862,0.0012862,0.0012862
43,1204.29,1.57004,1.85425,0.00983,0.43707,0.35304,0.32411,0.2024,1.27878,2.34077,0.011,0.0012562,0.0012562,0.0012562
44,1241.33,1.5122,1.84693,0.00961,0.46868,0.34825,0.34161,0.2112,1.42462,2.0783,0.01457,0.00122596,0.00122596,0.00122596
45,1278.27,1.5,1.85418,0.00992,0.44956,0.35903,0.33879,0.2074,1.31255,2.47695,0.01214,0.00119551,0.00119551,0.00119551
46,1315.53,1.49951,1.84916,0.00984,0.47746,0.35473,0.33221,0.19649,1.27874,2.67182,0.01094,0.00116487,0.00116487,0.00116487
47,1342.78,1.52177,1.87291,0.00976,0.39541,0.36544,0.31915,0.1952,1.46497,2.3349,0.01567,0.00113408,0.00113408,0.00113408
