epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.537,1.74506,2.93568,1.61899,0.16592,0.29553,0.10367,0.05525,1.6215,4.30641,1.62783,0.000664966,0.000664966,0.0674167
2,36.3299,1.73522,2.76704,1.66708,0.20804,0.252,0.11344,0.06356,1.7676,3.43596,1.79738,0.00133131,0.00133131,0.0347497
3,53.3241,1.76713,2.75229,1.69422,0.22886,0.24897,0.14165,0.07185,1.65928,2.95688,1.66001,0.00199635,0.00199635,0.00208138
4,70.0668,1.74564,2.61005,1.68361,0.24438,0.31223,0.16226,0.08809,1.59645,2.57814,1.67668,0.00199561,0.00199561,0.00199561
5,86.825,1.68772,2.5833,1.63197,0.23603,0.23821,0.15021,0.0788,1.73932,2.77806,1.78636,0.00199219,0.00199219,0.00199219
6,103.771,1.73832,2.53828,1.65241,0.2697,0.27421,0.17295,0.09273,1.65829,2.71833,1.70213,0.00198781,0.00198781,0.00198781
7,121.315,1.69117,2.52322,1.63193,0.27053,0.26996,0.18609,0.10213,1.53396,2.74463,1.61558,0.00198246,0.00198246,0.00198246
8,139.068,1.67466,2.48805,1.62528,0.28581,0.2808,0.17309,0.09774,1.59128,2.70138,1.59962,0.00197616,0.00197616,0.00197616
9,157.056,1.68861,2.45869,1.60684,0.28555,0.29913,0.17896,0.10638,1.54789,2.63216,1.60908,0.0019689,0.0019689,0.0019689
10,174.676,1.62521,2.49475,1.61081,0.30244,0.307,0.21512,0.12973,1.54304,2.57394,1.58901,0.00196069,0.00196069,0.00196069
11,191.922,1.63137,2.45263,1.62335,0.27713,0.29467,0.18721,0.10613,1.53254,2.98913,1.61356,0.00195155,0.00195155,0.00195155
12,209.2,1.64966,2.43058,1.60418,0.28109,0.2372,0.17841,0.10287,1.49937,2.82952,1.57532,0.00194147,0.00194147,0.00194147
13,226.398,1.62224,2.49465,1.59303,0.28259,0.29889,0.20735,0.12686,1.49795,2.48524,1.56887,0.00193048,0.00193048,0.00193048
14,243.821,1.61335,2.36338,1.58529,0.37364,0.31914,0.24747,0.13781,1.64029,2.67418,1.67314,0.00191858,0.00191858,0.00191858
15,260.954,1.59937,2.31792,1.56698,0.37637,0.34332,0.2692,0.15502,1.55339,2.42677,1.61573,0.00190578,0.00190578,0.00190578
16,277.945,1.5955,2.3147,1.57008,0.33138,0.30501,0.23961,0.1451,1.50341,2.46535,1.57847,0.0018921,0.0018921,0.0018921
